City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kudahuvadhoo,MV,80.58,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
5,Carutapera,BR,76.75,broken clouds,-1.195,-46.02,Lidera
10,Bubaque,GW,79.9,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
11,Atikokan,CA,80.58,few clouds,48.7555,-91.6216,Quetico Inn (formerly Radisson)
12,Butaritari,KI,83.41,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
15,Abbotsford,CA,84.22,haze,49.058,-122.2526,Coast Abbotsford Hotel & Suites
17,Swan River,CA,85.89,scattered clouds,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
23,Palmer,US,83.08,overcast clouds,42.1584,-72.3287,Wedgewood Motel
30,Tezu,IN,78.22,overcast clouds,27.9167,96.1667,Circuit House
33,Victoria,HK,85.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
36,Kumluca,TR,84.54,scattered clouds,36.3703,30.2869,TurkuazKöy
39,Manggar,ID,79.88,overcast clouds,-2.8833,108.2667,Guest Hotel
44,Bhuban,IN,83.89,overcast clouds,20.8833,85.8333,Sree Ganesh Sweetstall
52,Kahului,US,80.83,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
53,Les Cayes,HT,80.53,broken clouds,18.2,-73.75,Villa Orphee
55,Hambantota,LK,75.54,shower rain,6.1241,81.1185,Bungalow 63
57,Puerto Madero,MX,85.01,broken clouds,14.7208,-92.4215,Hotel La Central
59,Atuona,PF,77.72,broken clouds,-9.8,-139.0333,Villa Enata
61,Dingle,PH,76.64,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
62,Namatanai,PG,81.18,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
71,Hilo,US,80.8,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
78,Dwarka,IN,83.43,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
82,Ransang,PH,78.78,heavy intensity rain,8.9603,117.5828,Black and Crystal Sand Campsite
84,Surat,IN,82.83,broken clouds,21.1667,72.8333,HOTEL RUCHIRAJ
85,Nishihara,JP,81.68,few clouds,26.1842,127.7558,Minshuku Agaihama
92,Camacari,BR,76.77,broken clouds,-12.6975,-38.3242,Hotel Cambuci
95,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
98,Hithadhoo,MV,82.22,overcast clouds,-0.6,73.0833,Scoop Guest House
100,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
109,Itaueira,BR,83.66,overcast clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
110,Weinan,CN,80.29,overcast clouds,34.5036,109.5089,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
111,Coahuayana,MX,87.28,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
112,Ljubuski,BA,80.02,clear sky,43.1969,17.545,Hotel Hum
114,Changping,CN,76.96,scattered clouds,40.2186,116.2197,Huachang Hotel
118,Padang,ID,75.25,heavy intensity rain,-0.9492,100.3543,Mercure Padang
121,Georgetown,MY,77.9,scattered clouds,5.4112,100.3354,Cititel Penang
123,Roma,US,77.95,scattered clouds,43.2128,-75.4557,Wingate By Wyndham Rome
128,Hasaki,JP,75.6,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
129,Highview,US,84.51,overcast clouds,38.1428,-85.6241,WoodSpring Suites Louisville Southeast
130,Marsh Harbour,BS,82.99,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
135,Banes,CU,83.32,scattered clouds,20.9625,-75.7186,Hostal Iván y yailet
136,Naze,JP,77.92,scattered clouds,28.3667,129.4833,奄美ポートタワーホテル
137,Yellowknife,CA,80.29,broken clouds,62.456,-114.3525,The Explorer Hotel
152,Bom Jesus,BR,79.77,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
155,Komsomolskiy,UZ,84.92,broken clouds,40.4272,71.7189,Ikathouse
156,Acapulco,MX,85.55,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
159,Faanui,PF,79.59,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
160,Lazaro Cardenas,MX,85.03,overcast clouds,17.9583,-102.2,quinta antigua
164,Sioux Lookout,CA,77.38,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
167,Mabaruma,GY,75.51,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
172,Hamilton,US,75.99,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
178,Marsaxlokk,MT,80.08,clear sky,35.8419,14.5431,Water's Edge
181,Denpasar,ID,80.26,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
182,Hanting,CN,75.54,clear sky,36.7708,119.2108,Weifang Xinhongda Guesthouse
183,Mariveles,PH,76.89,few clouds,14.4833,120.4833,The Oriental Bataan
185,Bonthe,SL,76.53,light rain,7.5264,-12.505,Bonthe Holiday Village
186,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
189,Yarmouth,US,75.42,overcast clouds,41.7057,-70.2286,Blue Rock Resort
190,Yining,CN,78.01,broken clouds,29.0361,114.5636,Xiushui Hotel
193,Smithers,CA,80.92,few clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
196,Mayo,US,87.91,light rain,38.8876,-76.5119,Resorts Resource Group International
199,Dhidhdhoo,MV,79.14,overcast clouds,6.8833,73.1,Dhidhoo beach
203,Pitimbu,BR,77.59,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
207,The Pas,CA,87.82,clear sky,53.8251,-101.2541,Wescana Inn
214,Canton,CN,83.88,overcast clouds,23.1167,113.25,Guangzhou Hotel
218,Klungkung,ID,79.48,scattered clouds,-8.5333,115.4,Cegeng Lestari Guesthouse
220,Galveston,US,77.2,light rain,29.3669,-94.9669,Comfort Inn & Suites Texas City
222,Luwuk,ID,75.34,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
223,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
226,Viransehir,TR,84.49,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
227,Sola,VU,81.27,scattered clouds,-13.8833,167.55,Leumerus Bungalows
229,Bethel,US,83.95,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
230,Samarai,PG,79.88,overcast clouds,-10.6167,150.6667,Nuli Sapi
233,Pemberton,CA,85.69,clear sky,50.3164,-122.8027,Pemberton Valley Lodge
234,Leiyang,CN,78.42,overcast clouds,26.4024,112.8591,Dongyang Hotel
247,Haverhill,US,75.85,scattered clouds,42.7762,-71.0773,Best Western Merrimack Valley
249,Cherskiy,RU,84.92,scattered clouds,68.75,161.3,Gostinitsa
250,Maicao,CO,82.99,overcast clouds,11.3832,-72.2432,Hotel Sancho
252,Harper,LR,77.59,overcast clouds,4.375,-7.7169,Screensaver
255,Tucurui,BR,81.19,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
262,Finschhafen,PG,80.8,scattered clouds,-6.6024,147.8681,Cossam Guest House
267,Gimli,CA,86.43,broken clouds,50.6336,-96.9907,Lakeview Gimli Resort
273,Dongsheng,CN,78.01,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
277,Boyuibe,BO,85.91,clear sky,-20.4167,-63.2833,Residencial Eluzai
283,Cayenne,GF,82.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
289,Banda Aceh,ID,78.37,overcast clouds,5.5577,95.3222,Sulthan Hotel International
290,Cabedelo,BR,77.67,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
296,Kattivakkam,IN,78.89,moderate rain,13.2167,80.3167,Euronova Freezer
299,Ratnagiri,IN,79.92,light rain,16.9833,73.3,Hotel Landmark
305,Axim,GH,76.75,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
307,Paringao,PH,80.4,scattered clouds,16.5717,120.3242,Sunset Bay Beach Resort
308,Somerville,US,76.51,overcast clouds,42.3876,-71.0995,La Quinta Inn & Suites by Wyndham Boston Somerville
309,Neyshabur,IR,77.49,clear sky,36.2133,58.7958,Amiran Hotel
310,Meulaboh,ID,75.92,overcast clouds,4.1363,96.1285,Kost Pria
316,Kampot,KH,78.85,light rain,10.6167,104.1833,Two Moons Hotel
317,Ambon,ID,75.34,thunderstorm with light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
325,Machiques,VE,83.68,overcast clouds,10.0644,-72.545,hotel el markes
326,Trat,TH,79.79,overcast clouds,12.5,102.5,สวนหนิง-อัศ
332,Bathsheba,BB,80.26,overcast clouds,13.2167,-59.5167,Atlantis Hotel
333,Tabou,CI,77.68,overcast clouds,4.423,-7.3528,hotêl doufoulougou
334,Aquiraz,BR,80.69,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
335,Bacolod,PH,78.35,moderate rain,10.6667,122.95,Planta Hotel & Residences
337,Guerrero Negro,MX,80.49,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
338,Buala,SB,82.72,light rain,-8.145,159.5921,Maringe Lagoon Lodge
341,Puerto Penasco,MX,87.91,clear sky,31.3167,-113.5333,Playa Bonita Resort
345,Houston,US,79.38,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
346,Kieta,PG,82.06,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
349,Tarakan,ID,77.79,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
353,Nouakchott,MR,75.13,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
361,Sibolga,ID,75.94,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
363,Mancio Lima,BR,80.82,overcast clouds,-7.6142,-72.8958,Hotel e Distribuidora Voyage
371,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
376,Vanimo,PG,77.7,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
386,Natal,BR,76.59,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
387,Sylvan Lake,CA,80.35,clear sky,52.3168,-114.0853,Best Western Plus Chateau Inn Sylvan Lake
388,Mogadishu,SO,76.42,overcast clouds,2.0371,45.3438,Hotel Juba
389,Karpathos,GR,77.99,clear sky,35.507,27.2132,Alex
391,Black River,JM,84.97,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
395,Medicine Hat,CA,87.37,broken clouds,50.0501,-110.6683,Sun Dek Motel
406,Qui Nhon,VN,77.38,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
413,Humaita,BR,82.58,broken clouds,-7.5061,-63.0208,Corrêa Hotel
414,Bull Savanna,JM,82.45,few clouds,17.8868,-77.5902,Big Red's
417,Muisne,EC,75.69,overcast clouds,0.6,-80.0333,Quinta Samay
422,Lethem,GY,79.34,broken clouds,3.3803,-59.7968,Savannah Inn
424,Methoni,GR,79.21,clear sky,36.8197,21.7049,Methoni Beach Hotel
425,La Ronge,CA,79.03,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
431,Bela,IN,87.03,broken clouds,25.9333,81.9833,Raj Bhawan
432,Conceicao Do Araguaia,BR,81.1,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
434,Tecoanapa,MX,85.6,broken clouds,16.5167,-98.75,Hotel Manglares
444,Dakar,SN,78.93,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
445,Del Rio,US,82.42,mist,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
455,Hobyo,SO,76.17,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
456,Ayotzintepec,MX,86.59,overcast clouds,17.6667,-96.1333,"Hotel ""Punta del Cerro"""
461,Champerico,GT,85.35,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
462,Mahemdavad,IN,86.25,overcast clouds,22.8333,72.7667,Shalvi Infracon pvt ltd Grass court Greens
467,Westport,US,85.86,broken clouds,41.1415,-73.3579,The Westport Inn
468,Aksu,CN,80.53,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
469,Cockburn Town,TC,80.51,clear sky,21.4612,-71.1419,Osprey Beach Hotel
473,Suez,EG,78.19,clear sky,29.9737,32.5263,Green House
479,Pizarro,CO,76.75,overcast clouds,4.9533,-77.366,Hotel Limonar
482,Sao Filipe,CV,75.51,clear sky,14.8961,-24.4956,Hotel Xaguate
483,Kavieng,PG,82.58,broken clouds,-2.5744,150.7967,Nusa Island Retreat
486,Phuket,TH,80.1,moderate rain,8.0,98.25,The Surin Phuket
491,Picota,PE,78.46,broken clouds,-6.9197,-76.3304,Hospedaje Vanessa
493,Bhusawal,IN,81.79,overcast clouds,21.05,75.7667,Ganesh Park (Udita Construction)
495,Fier,AL,76.08,clear sky,40.7239,19.5561,Hotel Fieri
496,Zheleznodorozhnyy,RU,76.35,scattered clouds,55.7503,38.0042,Hotel Dali
502,Labuhan,ID,76.69,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
503,Mandera,KE,79.18,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
508,Mahibadhoo,MV,79.57,heavy intensity rain,3.7833,72.9667,Omadhoo Inn
511,Kousseri,CM,82.47,scattered clouds,12.0769,15.0306,Le Pilotis
516,Kavaratti,IN,80.91,very heavy rain,10.5669,72.642,Hotels in Lakshadweep Islands
518,Catuday,PH,79.7,scattered clouds,16.2923,119.8062,GResort
524,Wanning,CN,78.08,scattered clouds,18.8003,110.3967,Paradise Hotel
529,Nago,JP,82.47,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
530,Areia Branca,BR,80.62,overcast clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
531,Sabratah,LY,82.24,clear sky,32.7933,12.4885,M.Shegwara
534,Piripiri,BR,84.22,overcast clouds,-4.2733,-41.7769,Califórnia Hotel
535,Houma,US,88.0,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
536,Asind,IN,81.66,overcast clouds,25.7333,74.3333,"HOTEL JIYA PALACE, ASIND"
537,Troy,US,77.83,clear sky,42.6056,-83.1499,Embassy Suites by Hilton Detroit Troy Auburn Hills
542,Cienaga,CO,86.05,overcast clouds,11.007,-74.2476,The Journey Hostel
548,Myitkyina,MM,75.81,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
551,Salalah,OM,77.72,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
554,Caimito,CO,83.95,overcast clouds,8.8123,-75.4107,VIVIENDA ESTUDIANTE
556,Qurayyat,SA,80.4,clear sky,31.3318,37.3428,Mozon Furnished Aprtments
561,Santa Cruz,BO,83.66,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
567,Kimbe,PG,78.37,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
568,Lucea,JM,85.86,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
572,Bucerias,MX,86.99,overcast clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
573,Awbari,LY,86.7,clear sky,26.5921,12.7805,فندق أوباري
574,Itoman,JP,82.42,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
576,Ayios Mamas,GR,82.33,clear sky,40.2667,23.3333,Platanos Apartment
580,Touros,BR,76.73,few clouds,-5.1989,-35.4608,INN NEW HORIZON
586,Katsuura,JP,80.11,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
589,Pasni,PK,81.66,broken clouds,25.2631,63.471,Kashmiri Hotal
590,Velez-Malaga,ES,86.76,few clouds,36.7726,-4.1005,Hotel Torremar
592,Cotonou,BJ,78.12,overcast clouds,6.3654,2.4183,Novotel Cotonou Orisha
599,Nizhniy Baskunchak,RU,78.08,clear sky,48.2198,46.8311,Arman hotel
600,Dong Hoi,VN,80.74,broken clouds,17.4833,106.6,Nam Long Hotel
603,Petatlan,MX,83.88,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
607,Vaitape,PF,79.57,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
615,Shimoda,JP,84.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
616,Iberia,US,84.18,overcast clouds,29.9502,-91.7507,back to back rv park
617,Strathmore,CA,86.38,scattered clouds,51.0501,-113.3852,Wheatland Hotel
620,Chitral,PK,79.0,clear sky,35.8462,71.7858,PTDC Motel Chitral
622,Brainerd,US,79.09,few clouds,46.358,-94.2008,"Holiday Inn Express & Suites Brainerd-Baxter, an IHG Hotel"
623,Saint Anthony,US,81.82,scattered clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
625,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
627,Coria,ES,82.45,clear sky,39.9879,-6.5377,Hotel San Cristóbal
629,San Quintin,MX,75.56,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
637,Erenhot,CN,81.01,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
642,Tiarei,PF,84.22,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
643,Mastic Beach,US,83.16,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
645,Khowst,AF,83.79,clear sky,33.3833,69.8833,وچه خوړه،Wacha Khwara
660,Calcutta,IN,85.95,haze,22.5697,88.3697,Hotel Esplanade Chambers
661,Belize,BZ,87.24,overcast clouds,17.25,-88.75,Villa San Juan
664,Tual,ID,80.94,broken clouds,-5.6667,132.75,Grand Vilia Hotel
666,Mucurapo,TT,82.26,overcast clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
669,Najran,SA,83.59,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
670,Lufkin,US,87.71,few clouds,31.3382,-94.7291,Courtyard by Marriott Lufkin
671,Tayu,ID,77.07,broken clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
672,Maues,BR,79.59,overcast clouds,-3.3836,-57.7186,Hotel Miramar
683,Manbij,SY,84.97,clear sky,36.5281,37.9549,Manbej City Hotel
688,Bardiyah,LY,78.84,clear sky,31.7561,25.0865,بورتو بردية
690,The Valley,AI,82.81,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
691,Warwick,US,78.91,broken clouds,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
692,Bilibino,RU,77.67,few clouds,68.0546,166.4372,Gostinitsa Severyanka
695,Kilindoni,TZ,77.09,scattered clouds,-7.9139,39.6668,Bustani B&B
697,Santa Marta,CO,85.98,overcast clouds,11.2408,-74.199,Casa de Isabella
